ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
53,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",75895,0.14,32.77,65.43,54
54,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7474,0.01,0.45,0.52,54
55,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",79136,0.14,31.43,62.73,54
56,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7727,0.01,0.45,0.50,54
57,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",76827,0.13,32.38,64.68,54
58,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7503,0.01,0.45,0.53,54
59,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",77487,0.13,32.10,64.30,54
60,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7459,0.01,0.45,0.52,54
61,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7487,0.01,0.45,0.52,54
62,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7520,0.01,0.45,0.52,54
63,8,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4," 2304,    1,    1"," 1024,    1,    1",266786,0.46,37.24,79.06,54
64,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    3,    1,    1"," 1024,    1,    1",11691,0.02,1.13,1.30,54
65,8,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4," 2304,    1,    1"," 1024,    1,    1",270896,0.46,36.67,77.78,54
66,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7519,0.01,0.45,0.50,54
67,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7514,0.01,0.45,0.52,54
68,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7473,0.01,0.45,0.52,54
69,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",76692,0.14,32.43,64.90,54
70,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7509,0.01,0.45,0.52,54
71,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",77964,0.14,31.91,63.79,54
72,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7876,0.01,0.45,0.50,54
73,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",77041,0.13,32.29,64.31,54
74,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7498,0.01,0.45,0.52,54
